Amp	Real	Quad	Magnitude	Phase	Overflow
0	-1	0	1	3.14159	0
100	0	-1	1	-1.5708	0
200	-1	-1	1.41421	-2.35619	0
300	0	-1	1	-1.5708	0
400	-1	-1	1.41421	-2.35619	0
500	-1	-1	1.41421	-2.35619	0
600	0	0	0	0	0
700	0	0	0	0	0
800	0	-1	1	-1.5708	0
900	-1	-1	1.41421	-2.35619	0
1000	0	0	0	0	0
SourceAmp:	1	MinSinkAmp:	600	MinMagnitude:	0

Amp	Real	Quad	Magnitude	Phase	Overflow
500	-1	-1	1.41421	-2.35619	0
510	-1	0	1	3.14159	0
520	-1	0	1	3.14159	0
530	0	0	0	0	0
540	-1	-1	1.41421	-2.35619	0
550	0	0	0	0	0
560	0	0	0	0	0
570	-1	0	1	3.14159	0
580	-1	-1	1.41421	-2.35619	0
590	-1	0	1	3.14159	0
600	-1	-1	1.41421	-2.35619	0
610	0	0	0	0	0
620	0	0	0	0	0
630	0	0	0	0	0
640	0	-1	1	-1.5708	0
650	0	0	0	0	0
660	0	-1	1	-1.5708	0
670	0	-1	1	-1.5708	0
680	0	0	0	0	0
690	-1	-1	1.41421	-2.35619	0
700	0	-1	1	-1.5708	0
SourceAmp:	1	MinSinkAmp:	530	MinMagnitude:	0

Amp	Real	Quad	Magnitude	Phase	Overflow
520	0	0	0	0	0
521	-1	-1	1.41421	-2.35619	0
522	0	-1	1	-1.5708	0
523	0	-1	1	-1.5708	0
524	0	0	0	0	0
525	-1	-1	1.41421	-2.35619	0
526	-1	-1	1.41421	-2.35619	0
527	-1	0	1	3.14159	0
528	0	0	0	0	0
529	0	-1	1	-1.5708	0
530	0	0	0	0	0
531	0	0	0	0	0
532	0	-1	1	-1.5708	0
533	0	-1	1	-1.5708	0
534	0	-1	1	-1.5708	0
535	0	0	0	0	0
536	-1	0	1	3.14159	0
537	0	-1	1	-1.5708	0
538	-1	0	1	3.14159	0
539	0	0	0	0	0
540	0	0	0	0	0
SourceAmp:	1	MinSinkAmp:	520	MinMagnitude:	0

