Amp	Real	Quad	Magnitude	Phase	Overflow
0	128	258	288.007	1.11025	0
100	84	37	91.7878	0.414906	0
200	41	-186	190.465	-1.35384	0
300	-2	-409	409.005	-1.57569	0
400	-45	-632	633.6	-1.64188	0
500	-87	-856	860.41	-1.67208	0
600	-128	-1080	1087.56	-1.68876	0
700	-168	-1304	1314.78	-1.69892	0
800	-208	-1529	1543.08	-1.706	0
900	-247	-1753	1770.32	-1.71078	0
1000	-284	-1976	1996.3	-1.71354	0
SourceAmp:	119	MinSinkAmp:	100	MinMagnitude:	91.7878

Amp	Real	Quad	Magnitude	Phase	Overflow
0	128	255	285.323	1.10558	0
10	124	235	265.708	1.08527	0
20	120	213	244.477	1.05774	0
30	116	191	223.466	1.025	0
40	111	169	202.193	0.989652	0
50	107	146	181.011	0.938344	0
60	103	125	161.969	0.881592	0
70	98	102	141.45	0.805395	0
80	94	80	123.434	0.705111	0
90	90	57	106.532	0.564569	0
100	85	36	92.3093	0.400624	0
110	81	14	82.201	0.171149	0
120	76	-9	76.531	-0.117872	0
130	72	-31	78.3901	-0.406567	0
140	67	-53	85.4283	-0.669257	0
150	63	-75	97.949	-0.872137	0
160	59	-98	114.39	-1.02888	0
170	54	-120	131.59	-1.14794	0
180	50	-142	150.546	-1.23224	0
190	46	-164	170.329	-1.29734	0
200	41	-187	191.442	-1.35496	0
SourceAmp:	119	MinSinkAmp:	120	MinMagnitude:	76.531

Amp	Real	Quad	Magnitude	Phase	Overflow
110	81	13	82.0366	0.159137	0
111	80	11	80.7527	0.136643	0
112	80	9	80.5047	0.112029	0
113	79	7	79.3095	0.0883768	0
114	79	4	79.1012	0.0505897	0
115	78	2	78.0256	0.0256354	0
116	78	0	78	0	0
117	77	-2	77.026	-0.0259682	0
118	77	-4	77.1038	-0.0519014	0
119	77	-7	77.3175	-0.0906599	0
120	76	-9	76.531	-0.117872	0
121	76	-11	76.7919	-0.143739	0
122	75	-13	76.1183	-0.171628	0
123	75	-16	76.6877	-0.210183	0
124	74	-18	76.1577	-0.238609	0
125	74	-20	76.6551	-0.263964	0
126	74	-22	77.201	-0.288975	0
127	73	-24	76.844	-0.317635	0
128	73	-27	77.8332	-0.354259	0
129	72	-29	77.6209	-0.382899	0
130	72	-31	78.3901	-0.406567	0
SourceAmp:	119	MinSinkAmp:	122	MinMagnitude:	76.1183

