Amp	Real	Quad	Magnitude	Phase	Overflow
0	-1996	837	2164.39	2.74453	0
100	-1291	410	1354.54	2.83408	0
200	-595	142	611.71	2.90732	0
300	92	-29	96.4624	-0.305359	0
400	770	-339	841.321	-0.414724	0
500	1295	-985	1627.04	-0.650262	0
600	1882	-1808	2609.75	-0.765347	0
700	2470	-2646	3619.7	-0.819786	0
800	3089	-3519	4682.44	-0.850379	0
900	3753	-4435	5809.84	-0.868499	0
1000	4426	-5314	6915.78	-0.876317	0
SourceAmp:	255	MinSinkAmp:	300	MinMagnitude:	96.4624

Amp	Real	Quad	Magnitude	Phase	Overflow
200	-965	-308	1012.96	-2.83264	0
210	-506	192	541.202	2.77893	0
220	-440	114	454.528	2.88808	0
230	-358	134	382.256	2.78343	0
240	-291	121	315.154	2.74753	0
250	-171	126	212.408	2.50657	0
260	-134	109	172.734	2.45871	0
270	-26	126	128.655	1.77429	0
280	46	77	89.6939	1.03229	0
290	138	46	145.465	0.321751	0
300	213	55	219.986	0.252696	0
310	281	25	282.11	0.0887343	0
320	342	47	345.214	0.136571	0
330	399	27	399.912	0.0675662	0
340	451	-43	453.045	-0.0950563	0
350	517	-104	527.357	-0.198511	0
360	552	-140	569.477	-0.248386	0
370	589	-156	609.309	-0.258911	0
380	660	-207	691.7	-0.30392	0
390	738	-225	771.537	-0.295926	0
400	769	-304	826.908	-0.376464	0
SourceAmp:	255	MinSinkAmp:	280	MinMagnitude:	89.6939

Amp	Real	Quad	Magnitude	Phase	Overflow
270	-190	-52	196.987	-2.87445	0
271	-21	95	97.2934	1.78835	0
272	-5	103	103.121	1.6193	0
273	1	89	89.0056	1.55956	0
274	8	94	94.3398	1.48589	0
275	25	114	116.709	1.35492	0
276	42	87	96.6075	1.12104	0
277	26	104	107.201	1.32582	0
278	13	43	44.9222	1.27721	0
279	47	78	91.0659	1.02849	0
280	61	87	106.254	0.959299	0
281	62	56	83.5464	0.734594	0
282	54	88	103.247	1.02041	0
283	99	89	133.124	0.732257	0
284	88	69	111.826	0.664965	0
285	72	88	113.701	0.885067	0
286	105	87	136.36	0.691921	0
287	107	80	133.6	0.642004	0
288	116	67	133.959	0.523776	0
289	148	69	163.294	0.436257	0
290	109	87	139.463	0.673621	0
SourceAmp:	255	MinSinkAmp:	278	MinMagnitude:	44.9222

