projection1												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	0	15	0	15	16	31	16	31
	2	1000uA	10kHz	x255	0	15	1	0	16	31	17	16
	3	1000uA	10kHz	x255	0	15	2	1	16	31	18	17
	4	1000uA	10kHz	x255	0	15	3	2	16	31	19	18
	5	1000uA	10kHz	x255	0	15	4	3	16	31	20	19
	6	1000uA	10kHz	x255	0	15	5	4	16	31	21	20
	7	1000uA	10kHz	x255	0	15	6	5	16	31	22	21
	8	1000uA	10kHz	x255	0	15	7	6	16	31	23	22
	9	1000uA	10kHz	x255	0	15	8	7	16	31	24	23
	10	1000uA	10kHz	x255	0	15	9	8	16	31	25	24
	11	1000uA	10kHz	x255	0	15	10	9	16	31	26	25
	12	1000uA	10kHz	x255	0	15	11	10	16	31	27	26
	13	1000uA	10kHz	x255	0	15	12	11	16	31	28	27
	14	1000uA	10kHz	x255	0	15	13	12	16	31	29	28
	15	1000uA	10kHz	x255	0	15	14	13	16	31	30	29
	16	1000uA	10kHz	x255	0	15	15	14	16	31	31	30
end												
projection2												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	1	0	0	15	17	16	16	31
	2	1000uA	10kHz	x255	1	0	1	0	17	16	17	16
	3	1000uA	10kHz	x255	1	0	2	1	17	16	18	17
	4	1000uA	10kHz	x255	1	0	3	2	17	16	19	18
	5	1000uA	10kHz	x255	1	0	4	3	17	16	20	19
	6	1000uA	10kHz	x255	1	0	5	4	17	16	21	20
	7	1000uA	10kHz	x255	1	0	6	5	17	16	22	21
	8	1000uA	10kHz	x255	1	0	7	6	17	16	23	22
	9	1000uA	10kHz	x255	1	0	8	7	17	16	24	23
	10	1000uA	10kHz	x255	1	0	9	8	17	16	25	24
	11	1000uA	10kHz	x255	1	0	10	9	17	16	26	25
	12	1000uA	10kHz	x255	1	0	11	10	17	16	27	26
	13	1000uA	10kHz	x255	1	0	12	11	17	16	28	27
	14	1000uA	10kHz	x255	1	0	13	12	17	16	29	28
	15	1000uA	10kHz	x255	1	0	14	13	17	16	30	29
	16	1000uA	10kHz	x255	1	0	15	14	17	16	31	30
end												
projection3												
%	Measurment	Amp	Freq	Gain	Src1_IMM1	Sink1_IMM2	VM+1	VM-1	Src2_IMM3	Sink2_IMM4	VM+2	VM-2
	1	1000uA	10kHz	x255	2	1	0	15	18	17	16	31
	2	1000uA	10kHz	x255	2	1	1	0	18	17	17	16
	3	1000uA	10kHz	x255	2	1	2	1	18	17	18	17
	4	1000uA	10kHz	x255	2	1	3	2	18	17	19	18
	5	1000uA	10kHz	x255	2	1	4	3	18	17	20	19
	6	1000uA	10kHz	x255	2	1	5	4	18	17	21	20
	7	1000uA	10kHz	x255	2	1	6	5	18	17	22	21
	8	1000uA	10kHz	x255	2	1	7	6	18	17	23	22
	9	1000uA	10kHz	x255	2	1	8	7	18	17	24	23
	10	1000uA	10kHz	x255	2	1	9	8	18	17	25	24
	11	1000uA	10kHz	x255	2	1	10	9	18	17	26	25
	12	1000uA	10kHz	x255	2	1	11	10	18	17	27	26
	13	1000uA	10kHz	x255	2	1	12	11	18	17	28	27
	14	1000uA	10kHz	x255	2	1	13	12	18	17	29	28
	15	1000uA	10kHz	x255	2	1	14	13	18	17	30	29
	16	1000uA	10kHz	x255	2	1	15	14	18	17	31	30
end												
projection4												
