Ch	FreqNum	GIC_SW	CNTHigh	CNTLow	GAP	CCS_A	CCS_B	GIC1A	GIC1B	GIC2A	GIC2B	GIC3A	GIC3B	GIC4A	GIC4B	OffsetHigh	OffsetLow
0	0	8	3	231	1	179	223	128	128	128	128	128	128	128	128	0	11	
0	1	8	0	199	1	201	227	128	128	128	128	128	128	128	128	0	11	
0	2	8	0	99	1	139	227	128	128	128	128	128	128	128	128	0	11	
0	3	8	0	9	1	151	217	128	128	128	128	128	128	128	128	0	14	
0	4	8	0	1	1	150	181	128	128	128	128	128	128	128	128	0	11	
0	5	8	0	0	1	124	153	129	169	129	169	129	169	129	169	0	10	
0	6	4	0	0	5	135	93	130	142	130	142	130	142	130	142	0	10	
0	7	4	0	0	10	127	108	132	54	132	54	132	54	132	54	0	10	
0	8	2	0	0	25	187	81	119	53	119	53	119	53	119	53	255	240	
0	9	1	0	0	40	68	20	130	17	130	17	130	17	130	17	0	0	
0	16	8	3	231	1	179	223	128	128	128	128	128	128	128	128	0	11	
0	17	8	0	9	1	151	217	128	128	128	128	128	128	128	128	0	14	
0	18	8	0	0	1	124	153	129	169	129	169	129	169	129	169	0	10	
0	19	4	0	0	5	135	93	130	142	130	142	130	142	130	142	0	10	
1	0	8	3	231	1	93	216	128	128	128	128	128	128	128	128	0	8	
1	1	8	0	199	1	142	222	128	128	128	128	128	128	128	128	0	8	
1	2	8	0	99	1	126	222	128	128	128	128	128	128	128	128	0	8	
1	3	8	0	9	1	170	212	128	128	128	128	128	128	128	128	0	12	
1	4	8	0	1	1	98	178	128	128	128	128	128	128	128	128	0	13	
1	5	8	0	0	1	121	152	127	149	127	149	127	149	127	149	0	12	
1	6	4	0	0	5	151	91	124	138	124	138	124	138	124	138	0	9	
1	7	4	0	0	10	137	106	125	52	125	52	125	52	125	52	0	8	
1	8	2	0	0	25	146	80	138	52	138	52	138	52	138	52	0	89	
1	9	1	0	0	40	55	21	130	18	130	18	130	18	130	18	0	0	
1	16	8	3	231	1	93	216	128	128	128	128	128	128	128	128	0	8	
1	17	8	0	9	1	170	212	128	128	128	128	128	128	128	128	0	12	
1	18	8	0	0	1	121	152	127	149	127	149	127	149	127	149	0	12	
1	19	4	0	0	5	151	91	124	138	124	138	124	138	124	138	0	9	
2	0	8	3	231	1	123	222	128	128	128	128	128	128	128	128	0	10	
2	1	8	0	199	1	108	226	128	128	128	128	128	128	128	128	0	10	
2	2	8	0	99	1	152	225	128	128	128	128	128	128	128	128	0	10	
2	3	8	0	9	1	175	215	128	128	128	128	128	128	128	128	0	18	
2	4	8	0	1	1	144	180	128	128	128	128	128	128	128	128	0	13	
2	5	8	0	0	1	161	159	125	169	125	169	125	169	125	169	0	12	
2	6	4	0	0	5	114	93	125	142	125	142	125	142	125	142	0	15	
2	7	4	0	0	10	183	108	122	56	122	56	122	56	122	56	0	14	
2	8	2	0	0	25	78	85	140	58	140	58	140	58	140	58	0	11	
2	9	1	0	0	40	25	25	139	30	139	30	139	30	139	30	0	0	
2	16	8	3	231	1	123	222	128	128	128	128	128	128	128	128	0	10	
2	17	8	0	9	1	175	215	128	128	128	128	128	128	128	128	0	18	
2	18	8	0	0	1	161	159	125	169	125	169	125	169	125	169	0	12	
2	19	4	0	0	5	114	93	125	142	125	142	125	142	125	142	0	15	
3	0	8	3	231	1	164	219	128	128	128	128	128	128	128	128	0	9	
3	1	8	0	199	1	148	226	128	128	128	128	128	128	128	128	0	9	
3	2	8	0	99	1	145	226	128	128	128	128	128	128	128	128	0	9	
3	3	8	0	9	1	150	216	128	128	128	128	128	128	128	128	0	12	
3	4	8	0	1	1	147	180	128	128	128	128	128	128	128	128	0	13	
3	5	8	0	0	1	108	148	13	16	13	16	13	16	13	16	0	9	
3	6	4	0	0	5	113	92	133	137	133	137	133	137	133	137	0	9	
3	7	4	0	0	10	129	106	128	50	128	50	128	50	128	50	0	8	
3	8	2	0	0	25	169	78	131	49	131	49	131	49	131	49	0	89	
3	9	1	0	0	40	13	22	229	40	229	40	229	40	229	40	0	0	
3	16	8	3	231	1	164	219	128	128	128	128	128	128	128	128	0	9	
3	17	8	0	9	1	150	216	128	128	128	128	128	128	128	128	0	12	
3	18	8	0	0	1	108	148	13	16	13	16	13	16	13	16	0	9	
3	19	4	0	0	5	113	92	133	137	133	137	133	137	133	137	0	9	
4	0	8	3	231	1	107	222	128	128	128	128	128	128	128	128	0	10	
4	1	8	0	199	1	161	226	128	128	128	128	128	128	128	128	0	9	
4	2	8	0	99	1	130	226	128	128	128	128	128	128	128	128	0	10	
4	3	8	0	9	1	152	216	128	128	128	128	128	128	128	128	0	11	
4	4	8	0	1	1	95	181	128	128	128	128	128	128	128	128	0	10	
4	5	8	0	0	1	148	160	127	174	127	174	127	174	127	174	0	10	
4	6	4	0	0	5	107	93	129	141	129	141	129	141	129	141	0	5	
4	7	4	0	0	10	125	107	128	53	128	53	128	53	128	53	0	3	
4	8	2	0	0	25	193	65	127	52	127	52	127	52	127	52	0	79	
4	9	1	0	0	40	8	24	210	30	210	30	210	30	210	30	0	0	
4	16	8	3	231	1	107	222	128	128	128	128	128	128	128	128	0	10	
4	17	8	0	9	1	152	216	128	128	128	128	128	128	128	128	0	11	
4	18	8	0	0	1	148	160	127	174	127	174	127	174	127	174	0	10	
4	19	4	0	0	5	107	93	129	141	129	141	129	141	129	141	0	5	
5	0	8	3	231	1	159	217	128	128	128	128	128	128	128	128	0	9	
5	1	8	0	199	1	103	222	128	128	128	128	128	128	128	128	0	9	
5	2	8	0	99	1	153	221	128	128	128	128	128	128	128	128	0	9	
5	3	8	0	9	1	101	212	128	128	128	128	128	128	128	128	0	8	
5	4	8	0	1	1	178	176	128	128	128	128	128	128	128	128	0	13	
5	5	8	0	0	1	120	158	129	162	129	162	129	162	129	162	0	12	
5	6	4	0	0	5	113	91	126	139	126	139	126	139	126	139	0	6	
5	7	4	0	0	10	155	106	127	53	127	53	127	53	127	53	0	5	
5	8	2	0	0	25	209	81	119	58	119	58	119	58	119	58	255	223	
5	9	1	0	0	40	70	20	133	26	133	26	133	26	133	26	0	0	
5	16	8	3	231	1	159	217	128	128	128	128	128	128	128	128	0	9	
5	17	8	0	9	1	101	212	128	128	128	128	128	128	128	128	0	8	
5	18	8	0	0	1	120	158	129	162	129	162	129	162	129	162	0	12	
5	19	4	0	0	5	113	91	126	139	126	139	126	139	126	139	0	6	
6	0	8	3	231	1	204	219	128	128	128	128	128	128	128	128	0	6	
6	1	8	0	199	1	101	225	128	128	128	128	128	128	128	128	0	6	
6	2	8	0	99	1	180	224	128	128	128	128	128	128	128	128	0	6	
6	3	8	0	9	1	115	215	128	128	128	128	128	128	128	128	0	9	
6	4	8	0	1	1	108	180	128	128	128	128	128	128	128	128	0	7	
6	5	8	0	0	1	126	160	130	182	130	182	130	182	130	182	0	6	
6	6	4	0	0	5	104	91	129	142	129	142	129	142	129	142	0	6	
6	7	4	0	0	10	148	104	127	53	127	53	127	53	127	53	0	6	
6	8	2	0	0	25	90	62	126	56	126	56	126	56	126	56	255	249	
6	9	1	0	0	40	10	17	232	23	232	23	232	23	232	23	0	0	
6	16	8	3	231	1	204	219	128	128	128	128	128	128	128	128	0	6	
6	17	8	0	9	1	115	215	128	128	128	128	128	128	128	128	0	9	
6	18	8	0	0	1	126	160	130	182	130	182	130	182	130	182	0	6	
6	19	4	0	0	5	104	91	129	142	129	142	129	142	129	142	0	6	
7	0	8	3	231	1	135	224	128	128	128	128	128	128	128	128	0	12	
7	1	8	0	199	1	140	229	128	128	128	128	128	128	128	128	0	12	
7	2	8	0	99	1	125	229	128	128	128	128	128	128	128	128	0	12	
7	3	8	0	9	1	119	219	128	128	128	128	128	128	128	128	0	6	
7	4	8	0	1	1	157	182	128	128	128	128	128	128	128	128	0	14	
7	5	8	0	0	1	171	154	126	156	126	156	126	156	126	156	0	13	
7	6	4	0	0	5	117	95	126	143	126	143	126	143	126	143	0	3	
7	7	4	0	0	10	158	110	128	55	128	55	128	55	128	55	0	3	
7	8	2	0	0	25	210	84	133	58	133	58	133	58	133	58	255	204	
7	9	1	0	0	40	9	25	230	30	230	30	230	30	230	30	0	0	
7	16	8	3	231	1	135	224	128	128	128	128	128	128	128	128	0	12	
7	17	8	0	9	1	119	219	128	128	128	128	128	128	128	128	0	6	
7	18	8	0	0	1	171	154	126	156	126	156	126	156	126	156	0	13	
7	19	4	0	0	5	117	95	126	143	126	143	126	143	126	143	0	3	
8	0	8	3	231	1	112	215	128	128	128	128	128	128	128	128	0	12	
8	1	8	0	199	1	133	222	128	128	128	128	128	128	128	128	0	12	
8	2	8	0	99	1	128	222	128	128	128	128	128	128	128	128	0	12	
8	3	8	0	9	1	184	212	128	128	128	128	128	128	128	128	0	10	
8	4	8	0	1	1	117	178	128	128	128	128	128	128	128	128	0	16	
8	5	8	0	0	1	130	160	127	166	127	166	127	166	127	166	0	14	
8	6	4	0	0	5	116	93	130	143	130	143	130	143	130	143	0	8	
8	7	4	0	0	10	99	108	126	56	126	56	126	56	126	56	0	8	
8	8	2	0	0	25	80	81	137	56	137	56	137	56	137	56	0	53	
8	9	1	0	0	40	130	21	131	21	131	21	131	21	131	21	0	0	
8	16	8	3	231	1	112	215	128	128	128	128	128	128	128	128	0	12	
8	17	8	0	9	1	184	212	128	128	128	128	128	128	128	128	0	10	
8	18	8	0	0	1	130	160	127	166	127	166	127	166	127	166	0	14	
8	19	4	0	0	5	116	93	130	143	130	143	130	143	130	143	0	8	
9	0	8	3	231	1	135	218	128	128	128	128	128	128	128	128	0	8	
9	1	8	0	199	1	176	222	128	128	128	128	128	128	128	128	0	7	
9	2	8	0	99	1	146	222	128	128	128	128	128	128	128	128	0	8	
9	3	8	0	9	1	174	212	128	128	128	128	128	128	128	128	0	13	
9	4	8	0	1	1	181	177	128	128	128	128	128	128	128	128	0	15	
9	5	8	0	0	1	151	160	125	166	125	166	125	166	125	166	0	15	
9	6	4	0	0	5	116	91	128	135	128	135	128	135	128	135	0	11	
9	7	4	0	0	10	95	106	127	50	127	50	127	50	127	50	0	11	
9	8	2	0	0	25	124	65	122	54	122	54	122	54	122	54	0	149	
9	9	1	0	0	40	222	20	141	16	141	16	141	16	141	16	0	0	
9	16	8	3	231	1	135	218	128	128	128	128	128	128	128	128	0	8	
9	17	8	0	9	1	174	212	128	128	128	128	128	128	128	128	0	13	
9	18	8	0	0	1	151	160	125	166	125	166	125	166	125	166	0	15	
9	19	4	0	0	5	116	91	128	135	128	135	128	135	128	135	0	11	
10	0	8	3	231	1	142	219	128	128	128	128	128	128	128	128	0	6	
10	1	8	0	199	1	170	224	128	128	128	128	128	128	128	128	0	6	
10	2	8	0	99	1	134	224	128	128	128	128	128	128	128	128	0	7	
10	3	8	0	9	1	121	214	128	128	128	128	128	128	128	128	0	9	
10	4	8	0	1	1	169	177	128	128	128	128	128	128	128	128	0	14	
10	5	8	0	0	1	119	160	125	175	125	175	125	175	125	175	0	13	
10	6	4	0	0	5	117	90	131	137	131	137	131	137	131	137	0	7	
10	7	4	0	0	10	98	104	131	50	131	50	131	50	131	50	0	7	
10	8	2	0	0	25	255	75	120	51	120	51	120	51	120	51	0	42	
10	9	1	0	0	40	9	19	255	26	255	26	255	26	255	26	0	0	
10	16	8	3	231	1	142	219	128	128	128	128	128	128	128	128	0	6	
10	17	8	0	9	1	121	214	128	128	128	128	128	128	128	128	0	9	
10	18	8	0	0	1	119	160	125	175	125	175	125	175	125	175	0	13	
10	19	4	0	0	5	117	90	131	137	131	137	131	137	131	137	0	7	
11	0	8	3	231	1	105	218	128	128	128	128	128	128	128	128	0	7	
11	1	8	0	199	1	136	222	128	128	128	128	128	128	128	128	0	7	
11	2	8	0	99	1	112	222	128	128	128	128	128	128	128	128	0	7	
11	3	8	0	9	1	100	212	128	128	128	128	128	128	128	128	254	102	
11	4	8	0	1	1	124	175	128	128	128	128	128	128	128	128	0	13	
11	5	8	0	0	1	128	157	124	166	124	166	124	166	124	166	0	12	
11	6	4	0	0	5	111	89	126	134	126	134	126	134	126	134	254	102	
11	7	4	0	0	10	131	103	125	49	125	49	125	49	125	49	254	102	
11	8	2	0	0	25	126	76	127	50	127	50	127	50	127	50	254	202	
11	9	1	0	0	40	21	22	247	34	247	34	247	34	247	34	0	0	
11	16	8	3	231	1	105	218	128	128	128	128	128	128	128	128	0	7	
11	17	8	0	9	1	100	212	128	128	128	128	128	128	128	128	254	102	
11	18	8	0	0	1	128	157	124	166	124	166	124	166	124	166	0	12	
11	19	4	0	0	5	111	89	126	134	126	134	126	134	126	134	254	102	
12	0	8	3	231	1	106	218	128	128	128	128	128	128	128	128	0	14	
12	1	8	0	199	1	111	224	128	128	128	128	128	128	128	128	0	14	
12	2	8	0	99	1	106	224	128	128	128	128	128	128	128	128	0	14	
12	3	8	0	9	1	105	214	128	128	128	128	128	128	128	128	0	12	
12	4	8	0	1	1	117	178	128	128	128	128	128	128	128	128	0	10	
12	5	8	0	0	1	131	150	133	191	133	191	133	191	133	191	0	9	
12	6	4	0	0	5	119	90	129	134	129	134	129	134	129	134	0	11	
12	7	4	0	0	10	101	104	131	48	131	48	131	48	131	48	0	10	
12	8	2	0	0	25	116	74	127	50	127	50	127	50	127	50	0	15	
12	9	1	0	0	40	181	13	133	16	133	16	133	16	133	16	0	0	
12	16	8	3	231	1	106	218	128	128	128	128	128	128	128	128	0	14	
12	17	8	0	9	1	105	214	128	128	128	128	128	128	128	128	0	12	
12	18	8	0	0	1	131	150	133	191	133	191	133	191	133	191	0	9	
12	19	4	0	0	5	119	90	129	134	129	134	129	134	129	134	0	11	
13	0	8	3	231	1	152	219	128	128	128	128	128	128	128	128	0	7	
13	1	8	0	199	1	103	225	128	128	128	128	128	128	128	128	0	6	
13	2	8	0	99	1	159	224	128	128	128	128	128	128	128	128	0	7	
13	3	8	0	9	1	110	215	128	128	128	128	128	128	128	128	0	10	
13	4	8	0	1	1	130	179	128	128	128	128	128	128	128	128	0	17	
13	5	8	0	0	1	125	159	130	167	130	167	130	167	130	167	0	16	
13	6	4	0	0	5	115	91	133	136	133	136	133	136	133	136	0	9	
13	7	4	0	0	10	105	104	130	50	130	50	130	50	130	50	0	9	
13	8	2	0	0	25	130	73	131	52	131	52	131	52	131	52	0	59	
13	9	1	0	0	40	0	116	255	120	255	120	255	120	255	120	0	0	
13	16	8	3	231	1	152	219	128	128	128	128	128	128	128	128	0	7	
13	17	8	0	9	1	110	215	128	128	128	128	128	128	128	128	0	10	
13	18	8	0	0	1	125	159	130	167	130	167	130	167	130	167	0	16	
13	19	4	0	0	5	115	91	133	136	133	136	133	136	133	136	0	9	
14	0	8	3	231	1	162	217	128	128	128	128	128	128	128	128	0	18	
14	1	8	0	199	1	124	223	128	128	128	128	128	128	128	128	0	17	
14	2	8	0	99	1	111	223	128	128	128	128	128	128	128	128	0	18	
14	3	8	0	9	1	116	213	128	128	128	128	128	128	128	128	0	16	
14	4	8	0	1	1	178	177	128	128	128	128	128	128	128	128	0	16	
14	5	8	0	0	1	162	154	133	32	133	32	133	32	133	32	0	10	
14	6	4	0	0	5	113	90	130	140	130	140	130	140	130	140	0	14	
14	7	4	0	0	10	103	104	128	52	128	52	128	52	128	52	0	25	
14	8	2	0	0	25	86	76	127	51	127	51	127	51	127	51	255	249	
14	9	1	0	0	40	2	40	255	60	255	60	255	60	255	60	0	0	
14	16	8	3	231	1	162	217	128	128	128	128	128	128	128	128	0	18	
