Amp	Real	Quad	Magnitude	Phase	Overflow
0	-4319	322	4330.99	3.06718	0
100	-3321	99	3322.48	3.11179	0
200	-2576	216	2585.04	3.05794	0
300	-1898	205	1909.04	3.034	0
400	-1194	234	1216.71	2.94807	0
500	-527	174	554.982	2.82269	0
600	136	-45	143.252	-0.319543	0
700	816	-272	860.14	-0.321751	0
800	1493	-481	1568.57	-0.31167	0
900	2192	-599	2272.37	-0.266754	0
1000	2863	-681	2942.88	-0.233523	0
SourceAmp:	596	MinSinkAmp:	600	MinMagnitude:	143.252

Amp	Real	Quad	Magnitude	Phase	Overflow
500	-407	-493	639.295	-2.26093	0
510	-474	180	507.027	2.77867	0
520	-410	157	439.032	2.77589	0
530	-340	134	365.453	2.76617	0
540	-275	112	296.933	2.75483	0
550	-208	88	225.85	2.74135	0
560	-140	64	153.935	2.71281	0
570	-73	40	83.2406	2.64033	0
580	-8	17	18.7883	2.01064	0
590	59	-7	59.4138	-0.118092	0
600	127	-31	130.729	-0.239413	0
610	197	-56	204.805	-0.276958	0
620	263	-79	274.609	-0.291806	0
630	333	-103	348.566	-0.299975	0
640	399	-127	418.724	-0.308156	0
650	468	-151	491.757	-0.312105	0
660	538	-176	566.057	-0.316164	0
670	606	-200	638.15	-0.318777	0
680	675	-224	711.197	-0.320417	0
690	745	-248	785.194	-0.321348	0
700	812	-271	856.029	-0.32212	0
SourceAmp:	596	MinSinkAmp:	580	MinMagnitude:	18.7883

Amp	Real	Quad	Magnitude	Phase	Overflow
570	-60	22	63.9062	2.79015	0
571	-68	38	77.8974	2.632	0
572	-62	36	71.6938	2.61553	0
573	-55	34	64.6607	2.58791	0
574	-48	31	57.1402	2.56815	0
575	-41	29	50.2195	2.52597	0
576	-35	27	44.2041	2.48452	0
577	-28	24	36.8782	2.43297	0
578	-21	22	30.4138	2.33294	0
579	-14	20	24.4131	2.18152	0
580	-9	17	19.2354	2.0577	0
581	-2	15	15.1327	1.70335	0
582	5	13	13.9284	1.20362	0
583	11	11	15.5563	0.785398	0
584	18	8	19.6977	0.418224	0
585	25	6	25.7099	0.235545	0
586	32	3	32.1403	0.0934768	0
587	39	1	39.0128	0.0256354	0
588	45	-1	45.0111	-0.0222186	0
589	51	-3	51.0882	-0.0587558	0
590	58	-6	58.3095	-0.103082	0
SourceAmp:	596	MinSinkAmp:	582	MinMagnitude:	13.9284

