Amp	Real	Quad	Magnitude	Phase	Overflow 
0	-3217.0	177.0	3221.8656086187084	3.086627867281743	0
100	-2409.0	155.0	2413.9813586687037	3.077339172921788	0
200	-1822.0	208.0	1833.8342346024626	3.027924481620834	0
300	-1243.0	159.0	1253.1280860311128	3.0143672324021415	0
400	-657.0	164.0	677.1595085354705	2.8969721566367252	0
500	-109.0	16.0	110.16805344563369	2.995844526881356	0
600	462.0	-186.0	498.0361432667312	-0.38274350984557554	0
700	1037.0	-379.0	1104.0878588228384	-0.35039601182622176	0
800	1661.0	-463.0	1724.3230555786233	-0.27184710775516285	0
900	2289.0	-562.0	2356.982180670868	-0.2407597130610753	0
1000	2933.0	-619.0	2997.6073792276397	-0.20799448249760774	0
SourceAmp:	512	MinSinkAmp:	500	MinMagnitude:	110.16805344563369

Amp	Real	Quad	Magnitude	Phase	Overflow 
400	-530.0	-408.0	668.852749115977	-2.485532396553113	0
410	-612.0	212.0	647.6789328054449	2.808123885590757	0
420	-562.0	201.0	596.8626307618864	2.798117907384233	0
430	-508.0	180.0	538.9471217104699	2.8010649636007185	0
440	-452.0	160.0	479.48305496649203	2.80137454194511	0
450	-399.0	140.0	422.8486726950908	2.804136584362012	0
460	-344.0	119.0	364.00137362378183	2.8085480529247917	0
470	-288.0	99.0	304.54063768239536	2.810496576885661	0
480	-232.0	78.0	244.76110802167898	2.8172581256159956	0
490	-177.0	57.0	185.9516066077408	2.830045826687105	0
500	-121.0	36.0	126.24183141890805	2.852412031205279	0
510	-64.0	14.0	65.5133574166368	2.926234953892055	0
520	-7.0	-8.0	10.63014581273465	-2.289626326416521	0
530	51.0	-29.0	58.66856057549052	-0.5170319524915414	0
540	106.0	-50.0	117.2006825918689	-0.44075084777942214	0
550	165.0	-72.0	180.02499826412998	-0.41145624341370224	0
560	222.0	-94.0	241.0808992848666	-0.400534515385786	0
570	280.0	-115.0	302.6962173533062	-0.38970857134286574	0
580	334.0	-136.0	360.6272313622475	-0.3866854951729268	0
590	393.0	-158.0	423.5717176582969	-0.382259992149532	0
600	452.0	-180.0	486.52235303221164	-0.37897966074130296	0
SourceAmp:	512	MinSinkAmp:	520	MinMagnitude:	10.63014581273465

Amp	Real	Quad	Magnitude	Phase	Overflow 
510	-57.0	9.0	57.706152185014034	2.984990776607778	0
511	-59.0	13.0	60.41522986797286	2.924719037923385	0
512	-53.0	10.0	53.9351462406472	2.9551057519225763	0
513	-48.0	8.0	48.662100242385755	2.976443976175166	0
514	-42.0	6.0	42.42640687119285	2.999695598985629	0
515	-36.0	4.0	36.22154055254967	3.0309354324158977	0
516	-31.0	2.0	31.064449134018133	3.0771658141642395	0
517	-26.0	0.0	26.0	3.141592653589793	0
518	-20.0	-2.0	20.09975124224178	-3.0419240010986313	0
519	-14.0	-4.0	14.560219778561036	-2.8632929945846817	0
520	-8.0	-7.0	10.63014581273465	-2.4227626539681686	0
521	-3.0	-9.0	9.486832980505138	-1.892546881191539	0
522	3.0	-11.0	11.40175425099138	-1.3045442776439713	0
523	9.0	-13.0	15.811388300841896	-0.9652516631899266	0
524	14.0	-15.0	20.518284528683193	-0.8198672643969563	0
525	20.0	-17.0	26.248809496813376	-0.7044940642422177	0
526	26.0	-19.0	32.202484376209235	-0.6310793874713292	0
527	31.0	-21.0	37.44329045369811	-0.5954098754787326	0
528	38.0	-24.0	44.94441010848846	-0.5633162614919681	0
529	44.0	-26.0	51.10772935672255	-0.5337081916392615	0
530	50.0	-29.0	57.8013840664737	-0.5255837935516101	0
SourceAmp:	512	MinSinkAmp:	521	MinMagnitude:	9.486832980505138

