Amp	Real	Quad	Magnitude	Phase	Overflow
0	-2373	-239	2385.01	-3.04121	0
100	-2326	-226	2336.95	-3.04473	0
200	-1779	-172	1787.3	-3.04521	0
300	-1178	-113	1183.41	-3.04596	0
400	-572	-54	574.543	-3.04747	0
500	27	4	27.2947	0.147078	0
600	628	59	630.765	0.0936741	0
700	1233	115	1238.35	0.0929994	0
800	1841	171	1848.92	0.0926186	0
900	2444	227	2454.52	0.0926148	0
1000	3049	285	3062.29	0.0932025	0
SourceAmp:	478	MinSinkAmp:	500	MinMagnitude:	27.2947

Amp	Real	Quad	Magnitude	Phase	Overflow
400	-565	-54	567.575	-3.04631	0
410	-511	-48	513.249	-3.04793	0
420	-450	-42	451.956	-3.04853	0
430	-390	-36	391.658	-3.04955	0
440	-329	-30	330.365	-3.05066	0
450	-269	-25	270.159	-3.04892	0
460	-213	-19	213.846	-3.05263	0
470	-150	-13	150.562	-3.05514	0
480	-89	-7	89.2749	-3.0631	0
490	-29	-2	29.0689	-3.07274	0
500	29	4	29.2746	0.137066	0
510	89	9	89.4539	0.100781	0
520	148	15	148.758	0.101006	0
530	211	21	212.042	0.0991994	0
540	268	26	269.258	0.0967123	0
550	328	32	329.557	0.0972532	0
560	389	37	390.756	0.0948304	0
570	449	43	451.054	0.0954772	0
580	508	48	510.263	0.0942085	0
590	568	54	570.561	0.0947855	0
600	629	60	631.855	0.0951018	0
SourceAmp:	478	MinSinkAmp:	490	MinMagnitude:	29.0689

Amp	Real	Quad	Magnitude	Phase	Overflow
480	-88	-7	88.278	-3.06221	0
481	-83	-7	83.2947	-3.05745	0
482	-77	-6	77.2334	-3.06383	0
483	-70	-6	70.2567	-3.05609	0
484	-65	-5	65.192	-3.06482	0
485	-59	-4	59.1354	-3.0739	0
486	-53	-4	53.1507	-3.06626	0
487	-47	-3	47.0956	-3.07785	0
488	-42	-3	42.107	-3.07029	0
489	-35	-2	35.0571	-3.08451	0
490	-29	-2	29.0689	-3.07274	0
491	-23	-1	23.0217	-3.09814	0
492	-18	-1	18.0278	-3.08609	0
493	-12	0	12	3.14159	0
494	-6	0	6	3.14159	0
495	-1	1	1.41421	2.35619	0
496	6	2	6.32456	0.321751	0
497	12	2	12.1655	0.165149	0
498	18	3	18.2483	0.165149	0
499	24	3	24.1868	0.124355	0
500	29	4	29.2746	0.137066	0
SourceAmp:	478	MinSinkAmp:	495	MinMagnitude:	1.41421

