	FineR0	
CoarseR0	0	
CoarseR200	0	
MinCout:	0	CoarseR:	0	FineR:	0

	FineR0	FineR1	FineR2	FineR3	FineR4	FineR5	FineR6	FineR7	FineR8	FineR9	FineR10	
CoarseR0	0	1.2861e-010	0	0	0	0	0	-1.10871e-010	-6.65224e-011	4.43483e-011	-2.5722e-010	
CoarseR1	0	1.92915e-010	-6.4305e-011	-3.21525e-010	4.94654e-011	-1.92915e-010	0	4.43483e-011	0	-2.21741e-010	-1.07175e-010	
CoarseR2	-1.89132e-011	-3.21525e-010	-1.92915e-010	-6.4305e-011	1.21658e-010	-2.47327e-011	7.5653e-011	-3.21525e-010	1.51306e-010	-4.50135e-010	1.2861e-010	
CoarseR3	0	6.4305e-011	-1.2861e-010	6.4305e-011	-1.2861e-010	-1.2861e-010	3.78265e-011	1.2861e-010	0	-6.4305e-011	2.6609e-010	
CoarseR4	-1.2861e-010	1.2861e-010	3.46258e-010	1.23664e-010	-2.47327e-011	-2.08046e-010	2.5722e-010	-6.4305e-011	-1.2861e-010	1.55219e-010	-3.78265e-011	
CoarseR5	-1.2861e-010	4.43483e-011	1.99567e-010	-3.78265e-011	6.4305e-011	-3.8583e-010	-7.5653e-011	1.23664e-010	-1.89132e-010	3.47595e-011	-3.78265e-011	
CoarseR6	1.51306e-010	1.2861e-010	4.16091e-010	3.02612e-010	0	3.47595e-011	3.02612e-010	-1.10871e-010	1.23664e-010	3.21525e-011	0	
CoarseR7	1.13479e-010	-1.92915e-010	-8.68987e-011	-6.4305e-011	-2.47327e-011	-2.21741e-010	-1.92915e-010	-6.4305e-011	1.23664e-010	-2.82315e-010	-2.5722e-010	
CoarseR8	0	-1.92915e-010	0	0	-3.78265e-011	0	-1.2861e-010	1.51306e-010	-4.43483e-011	-2.83699e-010	-1.99567e-010	
CoarseR9	3.02612e-010	-6.4305e-011	-6.4305e-011	-2.5722e-010	2.7206e-010	-6.4305e-011	1.13479e-010	0	-3.78265e-011	-1.89132e-010	6.65224e-011	
CoarseR10	-1.80054e-010	-6.4305e-011	-1.2861e-010	-3.8583e-010	0	-4.43483e-011	0	1.21658e-010	-1.10871e-010	-6.4305e-011	-6.4305e-011	
CoarseR11	4.43483e-010	-9.45662e-011	4.43483e-011	-2.5722e-010	2.22594e-010	0	-2.47327e-011	-1.10871e-010	-4.43483e-011	-1.2861e-010	0	
CoarseR12	-6.65224e-011	7.5653e-011	-2.21741e-010	0	2.47327e-011	3.21525e-011	-8.86966e-011	0	0	3.21525e-011	1.23664e-010	
CoarseR13	-2.6609e-010	-1.80054e-010	7.5653e-011	-1.10871e-010	-7.7166e-011	1.23664e-010	-1.92915e-010	-3.78265e-011	6.65224e-011	-1.2861e-010	-1.10871e-010	
CoarseR14	-1.92915e-010	1.55219e-010	0	1.48396e-010	-1.80054e-010	-4.43483e-011	-4.43483e-011	0	0	-3.78265e-011	-1.92915e-010	
CoarseR15	-3.21525e-010	0	1.48396e-010	0	2.47327e-010	1.10871e-010	-1.92915e-010	0	3.21525e-010	3.21525e-011	1.10871e-010	
CoarseR16	-1.10871e-010	1.2861e-010	-9.45662e-011	-3.78265e-011	9.89308e-011	4.43483e-011	1.13479e-010	-6.4305e-011	0	-1.32393e-010	-1.92915e-010	
CoarseR17	-1.92915e-010	0	0	2.64785e-010	1.13479e-010	0	0	0	2.47327e-011	0	6.4305e-011	
CoarseR18	-1.02888e-010	0	4.43483e-011	0	2.22594e-010	-1.10871e-010	0	-1.55219e-010	0	-1.2861e-010	0	
CoarseR19	-1.48396e-010	-9.45662e-011	0	2.22594e-010	0	1.13479e-010	-1.92915e-010	-6.4305e-011	0	4.43483e-011	0	
CoarseR20	-6.4305e-011	-1.2861e-010	-1.92915e-010	0	-1.10871e-010	-1.2861e-010	1.51306e-010	-6.4305e-011	-1.55219e-010	0	-1.10871e-010	
MinCout:	0	CoarseR:	0	FineR:	0

