Amp	Real	Quad	Magnitude	Phase	Overflow
0	46	272	275.862	1.40326	0
100	11	55	56.0892	1.3734	0
200	-25	-164	165.895	-1.72207	0
300	-61	-384	388.815	-1.72833	0
400	-96	-604	611.582	-1.72842	0
500	-131	-825	835.336	-1.72827	0
600	-165	-1046	1058.93	-1.72725	0
700	-198	-1267	1282.38	-1.72582	0
800	-230	-1488	1505.67	-1.72415	0
900	-262	-1709	1728.97	-1.72292	0
1000	-292	-1929	1950.98	-1.72103	0
SourceAmp:	129	MinSinkAmp:	100	MinMagnitude:	56.0892

Amp	Real	Quad	Magnitude	Phase	Overflow
0	47	271	275.045	1.39907	0
10	43	250	253.671	1.40046	0
20	40	229	232.467	1.39787	0
30	36	207	210.107	1.39861	0
40	33	185	187.92	1.39427	0
50	29	163	165.56	1.39472	0
60	26	142	144.361	1.3897	0
70	22	120	122	1.38948	0
80	18	98	99.6393	1.38915	0
90	15	76	77.4661	1.37593	0
100	11	54	55.109	1.36984	0
110	8	32	32.9848	1.32582	0
120	4	10	10.7703	1.19029	0
130	0	-11	11	-1.5708	0
140	-3	-33	33.1361	-1.66146	0
150	-7	-55	55.4437	-1.69739	0
160	-11	-77	77.7817	-1.71269	0
170	-14	-99	99.985	-1.71128	0
180	-18	-121	122.332	-1.71847	0
190	-22	-143	144.682	-1.72345	0
200	-25	-165	166.883	-1.72117	0
SourceAmp:	129	MinSinkAmp:	120	MinMagnitude:	10.7703

Amp	Real	Quad	Magnitude	Phase	Overflow
110	7	32	32.7567	1.35544	0
111	7	30	30.8058	1.34156	0
112	7	28	28.8617	1.32582	0
113	6	26	26.6833	1.344	0
114	6	23	23.7697	1.31561	0
115	6	21	21.8403	1.2925	0
116	5	20	20.6155	1.32582	0
117	5	17	17.72	1.28474	0
118	5	15	15.8114	1.24905	0
119	4	13	13.6015	1.2723	0
120	4	10	10.7703	1.19029	0
121	3	8	8.544	1.21203	0
122	3	6	6.7082	1.10715	0
123	3	4	5	0.927295	0
124	3	2	3.60555	0.588003	0
125	2	0	2	0	0
126	2	-3	3.60555	-0.982794	0
127	2	-5	5.38516	-1.19029	0
128	1	-7	7.07107	-1.4289	0
129	1	-9	9.05539	-1.46014	0
130	0	-11	11	-1.5708	0
SourceAmp:	129	MinSinkAmp:	125	MinMagnitude:	2

