Amp	Real	Quad	Magnitude	Phase	Overflow
0	-1256	-115	1261.25	-3.05029	0
100	-630	-54	632.31	-3.05609	0
200	9	7	11.4018	0.661043	0
300	650	67	653.444	0.102714	0
400	1287	126	1293.15	0.0975911	0
500	1921	185	1929.89	0.0960079	0
600	2546	243	2557.57	0.0951556	0
700	3000	288	3013.79	0.0957067	0
800	3253	318	3268.51	0.0974463	0
900	3499	348	3516.26	0.099131	0
1000	3724	375	3742.83	0.10036	0
SourceAmp:	197	MinSinkAmp:	200	MinMagnitude:	11.4018

Amp	Real	Quad	Magnitude	Phase	Overflow
100	-618	-53	620.268	-3.05604	0
110	-565	-48	567.035	-3.05684	0
120	-500	-42	501.761	-3.05779	0
130	-437	-35	438.399	-3.06167	0
140	-374	-29	375.123	-3.06421	0
150	-308	-23	308.858	-3.06706	0
160	-243	-17	243.594	-3.07175	0
170	-180	-11	180.336	-3.08056	0
180	-116	-5	116.108	-3.09852	0
190	-52	1	52.0096	3.12236	0
200	11	7	13.0384	0.566729	0
210	76	13	77.1038	0.169413	0
220	139	19	140.293	0.135849	0
230	204	25	205.526	0.121941	0
240	269	31	270.78	0.114736	0
250	332	37	334.055	0.110988	0
260	395	43	397.334	0.108434	0
270	458	49	460.614	0.106581	0
280	523	55	525.884	0.104777	0
290	588	61	591.156	0.103372	0
300	651	67	654.439	0.102557	0
SourceAmp:	197	MinSinkAmp:	200	MinMagnitude:	13.0384

Amp	Real	Quad	Magnitude	Phase	Overflow
190	-52	1	52.0096	3.12236	0
191	-47	2	47.0425	3.09907	0
192	-40	2	40.05	3.09163	0
193	-34	3	34.1321	3.05359	0
194	-28	4	28.2843	2.9997	0
195	-22	4	22.3607	2.96174	0
196	-16	5	16.7631	2.83871	0
197	-9	5	10.2956	2.63449	0
198	-3	6	6.7082	2.03444	0
199	3	7	7.61577	1.1659	0
200	10	7	12.2066	0.610726	0
201	16	8	17.8885	0.463648	0
202	23	8	24.3516	0.334737	0
203	29	9	30.3645	0.30092	0
204	35	10	36.4005	0.2783	0
205	41	10	42.2019	0.239232	0
206	48	11	49.2443	0.225277	0
207	55	11	56.0892	0.197396	0
208	63	12	64.1327	0.188222	0
209	70	13	71.1969	0.183622	0
210	76	13	77.1038	0.169413	0
SourceAmp:	197	MinSinkAmp:	198	MinMagnitude:	6.7082

