Amp	Real	Quad	Magnitude	Phase	Overflow
0	54	206	212.96	1.31443	0
100	5	-11	12.083	-1.14417	0
200	-46	-230	234.555	-1.76819	0
300	-96	-450	460.126	-1.78098	0
400	-145	-671	686.488	-1.78362	0
500	-194	-892	912.853	-1.78495	0
600	-242	-1113	1139.01	-1.78489	0
700	-289	-1335	1365.92	-1.78399	0
800	-335	-1556	1591.65	-1.78286	0
900	-380	-1777	1817.18	-1.78147	0
1000	-425	-1997	2041.72	-1.78049	0
SourceAmp:	112	MinSinkAmp:	100	MinMagnitude:	12.083

Amp	Real	Quad	Magnitude	Phase	Overflow
0	55	205	212.25	1.30868	0
10	50	185	191.638	1.30683	0
20	45	163	169.098	1.30143	0
30	40	142	147.526	1.29622	0
40	35	120	125	1.287	0
50	30	98	102.489	1.27373	0
60	25	77	80.9568	1.25686	0
70	20	55	58.5235	1.22203	0
80	15	32	35.3412	1.13246	0
90	10	11	14.8661	0.832981	0
100	5	-11	12.083	-1.14417	0
110	0	-33	33	-1.5708	0
120	-5	-55	55.2268	-1.66146	0
130	-11	-77	77.7817	-1.71269	0
140	-16	-99	100.285	-1.73103	0
150	-21	-121	122.809	-1.74264	0
160	-26	-143	145.344	-1.75065	0
170	-31	-165	167.887	-1.75651	0
180	-36	-187	190.434	-1.76098	0
190	-41	-209	212.984	-1.76451	0
200	-46	-230	234.555	-1.76819	0
SourceAmp:	112	MinSinkAmp:	100	MinMagnitude:	12.083

Amp	Real	Quad	Magnitude	Phase	Overflow
90	10	10	14.1421	0.785398	0
91	9	8	12.0416	0.726642	0
92	9	7	11.4018	0.661043	0
93	8	4	8.94427	0.463648	0
94	8	2	8.24621	0.244979	0
95	7	0	7	0	0
96	7	-3	7.61577	-0.404892	0
97	6	-5	7.81025	-0.694738	0
98	6	-7	9.21954	-0.86217	0
99	5	-10	11.1803	-1.10715	0
100	5	-11	12.083	-1.14417	0
101	4	-14	14.5602	-1.2925	0
102	3	-16	16.2788	-1.38545	0
103	3	-18	18.2483	-1.40565	0
104	3	-20	20.2237	-1.42191	0
105	2	-22	22.0907	-1.48014	0
106	2	-24	24.0832	-1.48766	0
107	1	-27	27.0185	-1.53378	0
108	1	-29	29.0172	-1.53633	0
109	0	-31	31	-1.5708	0
110	0	-33	33	-1.5708	0
SourceAmp:	112	MinSinkAmp:	95	MinMagnitude:	7

