Amp	Real	Quad	Magnitude	Phase	Overflow
0	-1917	726	2049.87	2.77957	0
100	-1180	222	1200.7	2.95563	0
200	-497	-25	497.628	-3.09133	0
300	215	-199	292.961	-0.74677	0
400	879	-564	1044.38	-0.570475	0
500	1476	-1213	1910.48	-0.687902	0
600	2028	-2022	2863.79	-0.783917	0
700	2675	-2912	3954.16	-0.827793	0
800	3315	-3810	5050.28	-0.85476	0
900	4029	-4733	6215.64	-0.865573	0
1000	4733	-5671	7386.58	-0.875313	0
SourceAmp:	249	MinSinkAmp:	300	MinMagnitude:	292.961

Amp	Real	Quad	Magnitude	Phase	Overflow
200	-834	-390	920.682	-2.70418	0
210	-386	-39	387.965	-3.0409	0
220	-299	-7	299.082	-3.11819	0
230	-210	-15	210.535	-3.07029	0
240	-153	-36	157.178	-2.9105	0
250	-56	-63	84.2912	-2.29744	0
260	12	-82	82.8734	-1.42549	0
270	111	-119	162.733	-0.820167	0
280	178	-73	192.388	-0.389193	0
290	281	-98	297.599	-0.335565	0
300	333	-134	358.95	-0.382576	0
310	428	-157	455.887	-0.351582	0
320	467	-196	506.463	-0.397373	0
330	509	-194	544.717	-0.364142	0
340	566	-216	605.815	-0.364567	0
350	639	-312	711.101	-0.454214	0
360	682	-328	756.775	-0.448282	0
370	729	-401	832.011	-0.502896	0
380	805	-427	911.238	-0.487698	0
390	855	-508	994.53	-0.536108	0
400	897	-574	1064.93	-0.56925	0
SourceAmp:	249	MinSinkAmp:	260	MinMagnitude:	82.8734

Amp	Real	Quad	Magnitude	Phase	Overflow
250	-278	-274	390.333	-2.36344	0
251	-48	-65	80.8022	-2.20687	0
252	-53	-80	95.9635	-2.15591	0
253	-27	-52	58.5918	-2.04971	0
254	-32	-89	94.578	-1.91595	0
255	-25	-47	53.2353	-2.05965	0
256	32	-82	88.0227	-1.19873	0
257	1	-61	61.0082	-1.5544	0
258	1	-52	52.0096	-1.55157	0
259	14	-85	86.1452	-1.40756	0
260	24	-57	61.8466	-1.17227	0
261	21	-79	81.7435	-1.31098	0
262	26	-55	60.8358	-1.1292	0
263	36	-54	64.8999	-0.982794	0
264	41	-130	136.312	-1.26529	0
265	91	-79	120.507	-0.714927	0
266	68	-75	101.237	-0.83431	0
267	72	-121	140.801	-1.03403	0
268	101	-86	132.654	-0.705356	0
269	106	-93	141.014	-0.720164	0
270	80	-105	132.004	-0.91972	0
SourceAmp:	249	MinSinkAmp:	258	MinMagnitude:	52.0096

