	FineR0	
CoarseR0	1e+009	
CoarseR200	1e+009	
MaxRout:	1e+009	CoarseR:	0	FineR:	0

	FineR0	FineR1	FineR2	FineR3	FineR4	FineR5	FineR6	FineR7	FineR8	FineR9	FineR10	
CoarseR0	1e+009	10000	1e+009	1e+009	1e+009	1e+009	1e+009	14500	4142.86	5800	3333.33	
CoarseR1	1e+009	10000	5000	1e+009	2600	10000	1e+009	5800	1e+009	7250	6000	
CoarseR2	1619.05	2000	10000	5000	7400	5200	1888.89	6000	17000	10000	1e+009	
CoarseR3	1e+009	5000	1666.67	3333.33	2500	3750	4250	10000	1e+009	5000	29000	
CoarseR4	10000	10000	3250	26000	5200	4857.14	1e+009	3333.33	2500	9666.67	4250	
CoarseR5	10000	5800	3625	4250	3333.33	5000	2125	26000	5666.67	3083.33	4250	
CoarseR6	17000	10000	2428.57	8500	2000	3083.33	8500	14500	26000	6666.67	1e+009	
CoarseR7	3400	10000	5285.71	5000	5200	7250	1666.67	1428.57	26000	20500	3333.33	
CoarseR8	1e+009	10000	1e+009	1e+009	4250	1e+009	2500	17000	5800	3777.78	3625	
CoarseR9	8500	5000	5000	3333.33	8666.67	1428.57	3400	1e+009	4250	5666.67	4142.86	
CoarseR10	25000	5000	2500	5000	1e+009	5800	1e+009	7400	14500	5000	5000	
CoarseR11	3625	11333.3	5800	3333.33	3714.29	1e+009	5200	14500	5800	2500	1e+009	
CoarseR12	4142.86	1888.89	7250	1e+009	5200	6666.67	2900	1e+009	1e+009	6666.67	26000	
CoarseR13	29000	25000	1888.89	14500	6250	26000	10000	4250	4142.86	10000	14500	
CoarseR14	10000	9666.67	3000	6500	25000	5800	5800	1e+009	1e+009	4250	10000	
CoarseR15	2000	1e+009	6500	1e+009	13000	14500	10000	2000	4000	6666.67	14500	
CoarseR16	14500	10000	11333.3	4250	4333.33	5800	3400	5000	1e+009	3090.91	10000	
CoarseR17	10000	1e+009	1e+009	2833.33	3400	1e+009	1e+009	1e+009	5200	1e+009	3333.33	
CoarseR18	8333.33	1e+009	5800	1e+009	3714.29	14500	1e+009	9666.67	1e+009	2500	1e+009	
CoarseR19	6500	11333.3	1e+009	3714.29	1e+009	3400	10000	3333.33	1e+009	5800	1e+009	
CoarseR20	5000	2500	10000	1e+009	14500	10000	17000	5000	9666.67	1e+009	14500	
MaxRout:	1e+009	CoarseR:	0	FineR:	0

