Ch	FreqNum	GIC_SW	CNTHigh	CNTLow	GAP	CCS_A	CCS_B	GIC1A	GIC1B	GIC2A	GIC2B	GIC3A	GIC3B	GIC4A	GIC4B	OffsetHigh	OffsetLow
0	0	8	3	231	1	144	213	128	128	128	128	128	128	128	128	0	12	
0	1	8	0	199	1	98	220	128	128	128	128	128	128	128	128	0	21	
0	2	8	0	99	1	114	232	128	128	128	128	128	128	128	128	0	12	
0	3	8	0	9	1	188	221	128	128	128	128	128	128	128	128	0	12	
0	4	8	0	1	1	104	178	131	70	131	70	131	70	131	70	0	19	
0	5	8	0	0	1	190	160	128	195	128	195	128	195	128	195	0	11	
0	6	4	0	0	5	129	93	127	147	127	147	127	147	127	147	0	10	
0	7	4	0	0	10	129	108	129	56	129	56	129	56	129	56	0	10	
0	8	2	0	0	25	172	98	118	60	118	60	118	60	118	60	0	34	
0	9	1	0	0	40	3	158	12	86	12	86	12	86	12	86	0	69	
0	16	8	3	231	1	144	213	128	128	128	128	128	128	128	128	0	12	
0	17	8	0	9	1	188	221	128	128	128	128	128	128	128	128	0	12	
0	18	8	0	0	1	190	160	128	195	128	195	128	195	128	195	0	11	
0	19	4	0	0	5	129	93	127	147	127	147	127	147	127	147	0	10	
1	0	8	3	231	1	150	220	128	128	128	128	128	128	128	128	0	10	
1	1	8	0	199	1	147	226	128	128	128	128	128	128	128	128	0	17	
1	2	8	0	99	1	106	235	128	128	128	128	128	128	128	128	0	7	
1	3	8	0	9	1	115	224	128	128	128	128	128	128	128	128	0	8	
1	4	8	0	1	1	87	199	143	43	143	43	143	43	143	43	0	10	
1	5	8	0	0	1	116	164	125	172	125	172	125	172	125	172	0	7	
1	6	4	0	0	5	98	95	128	136	128	136	128	136	128	136	0	5	
1	7	4	0	0	10	123	110	130	50	130	50	130	50	130	50	0	5	
1	8	2	0	0	25	50	255	190	100	190	100	190	100	190	100	0	32	
1	9	1	0	0	40	4	185	215	73	215	73	215	73	215	73	0	39	
1	16	8	3	231	1	150	220	128	128	128	128	128	128	128	128	0	10	
1	17	8	0	9	1	115	224	128	128	128	128	128	128	128	128	0	8	
1	18	8	0	0	1	116	164	125	172	125	172	125	172	125	172	0	7	
1	19	4	0	0	5	98	95	128	136	128	136	128	136	128	136	0	5	
2	0	8	3	231	1	115	220	128	128	128	128	128	128	128	128	0	10	
2	1	8	0	199	1	141	225	128	128	128	128	128	128	128	128	0	19	
2	2	8	0	99	1	160	229	128	128	128	128	128	128	128	128	0	9	
2	3	8	0	9	1	141	219	128	128	128	128	128	128	128	128	0	9	
2	4	8	0	1	1	39	209	255	1	255	1	255	1	255	1	0	11	
2	5	8	0	0	1	143	161	129	172	129	172	129	172	129	172	0	8	
2	6	4	0	0	5	115	93	126	137	126	137	126	137	126	137	0	7	
2	7	4	0	0	10	112	108	131	50	131	50	131	50	131	50	0	7	
2	8	2	0	0	25	210	90	130	65	130	65	130	65	130	65	0	24	
2	9	1	0	0	40	3	112	253	112	253	112	253	112	253	112	0	31	
2	16	8	3	231	1	115	220	128	128	128	128	128	128	128	128	0	10	
2	17	8	0	9	1	141	219	128	128	128	128	128	128	128	128	0	9	
2	18	8	0	0	1	143	161	129	172	129	172	129	172	129	172	0	8	
2	19	4	0	0	5	115	93	126	137	126	137	126	137	126	137	0	7	
3	0	8	3	231	1	105	215	128	128	128	128	128	128	128	128	0	9	
3	1	8	0	199	1	94	221	128	128	128	128	128	128	128	128	0	17	
3	2	8	0	99	1	104	231	128	128	128	128	128	128	128	128	0	12	
3	3	8	0	9	1	105	221	128	128	128	128	128	128	128	128	0	12	
3	4	8	0	1	1	113	200	129	10	129	10	129	10	129	10	0	12	
3	5	8	0	0	1	130	160	132	194	132	194	132	194	132	194	0	11	
3	6	4	0	0	5	97	93	128	134	128	134	128	134	128	134	0	10	
3	7	4	0	0	10	127	108	128	49	128	49	128	49	128	49	0	9	
3	8	2	0	0	25	3	121	78	38	78	38	78	38	78	38	0	34	
3	9	1	0	0	40	240	85	164	74	164	74	164	74	164	74	0	37	
3	16	8	3	231	1	105	215	128	128	128	128	128	128	128	128	0	9	
3	17	8	0	9	1	105	221	128	128	128	128	128	128	128	128	0	12	
3	18	8	0	0	1	130	160	132	194	132	194	132	194	132	194	0	11	
3	19	4	0	0	5	97	93	128	134	128	134	128	134	128	134	0	10	
4	0	8	3	231	1	122	215	128	128	128	128	128	128	128	128	0	8	
4	1	8	0	199	1	58	221	128	128	128	128	128	128	128	128	0	16	
4	2	8	0	99	1	106	237	128	128	128	128	128	128	128	128	0	6	
4	3	8	0	9	1	178	225	128	128	128	128	128	128	128	128	0	6	
4	4	8	0	1	1	97	160	250	245	250	245	250	245	250	245	0	17	
4	5	8	0	0	1	161	164	126	175	126	175	126	175	126	175	0	5	
4	6	4	0	0	5	107	94	129	128	129	128	129	128	129	128	0	4	
4	7	4	0	0	10	103	109	126	47	126	47	126	47	126	47	0	3	
4	8	2	0	0	25	125	92	129	64	129	64	129	64	129	64	0	30	
4	9	1	0	0	40	242	100	169	54	169	54	169	54	169	54	0	31	
4	16	8	3	231	1	122	215	128	128	128	128	128	128	128	128	0	8	
4	17	8	0	9	1	178	225	128	128	128	128	128	128	128	128	0	6	
4	18	8	0	0	1	161	164	126	175	126	175	126	175	126	175	0	5	
4	19	4	0	0	5	107	94	129	128	129	128	129	128	129	128	0	4	
5	0	8	3	231	1	226	216	128	128	128	128	128	128	128	128	0	10	
5	1	8	0	199	1	199	222	128	128	128	128	128	128	128	128	0	18	
5	2	8	0	99	1	109	231	128	128	128	128	128	128	128	128	0	11	
5	3	8	0	9	1	170	220	128	128	128	128	128	128	128	128	0	11	
5	4	8	0	1	1	159	188	112	46	112	46	112	46	112	46	0	12	
5	5	8	0	0	1	150	160	126	189	126	189	126	189	126	189	0	10	
5	6	4	0	0	5	104	93	127	143	127	143	127	143	127	143	0	9	
5	7	4	0	0	10	155	108	131	55	131	55	131	55	131	55	0	9	
5	8	2	0	0	25	6	239	78	128	78	128	78	128	78	128	1	5	
5	9	1	0	0	40	3	128	255	117	255	117	255	117	255	117	0	37	
5	16	8	3	231	1	226	216	128	128	128	128	128	128	128	128	0	10	
5	17	8	0	9	1	170	220	128	128	128	128	128	128	128	128	0	11	
